Sr No,date,startup,vertical,city,investors,round,amount
884,2017-12-04,HackerEarth,Consumer Internet,Bangalore,"DHI Group Inc, Prime Venture Partners, Beenext, Beenos, Digital Garage, BizReach",Private Equity,4500000
885,2017-12-04,Squadrun,Technology,Noida,"Blume Ventures, Contrarian Capital, 91springboard, Emergent Ventures, Abstract Ventures, Anthill Ventures, Axilor Ventures",Private Equity,2100000
886,2017-12-04,Tinmen,Consumer Internet,Hyderabad,"MAPE Advisory Group, R Ramaraj, Corvus Ventures",Seed Funding,0
887,2017-12-04,ScoutMyTrip,Consumer Internet,Mumbai,Z Nation Lab,Seed Funding,0
888,2017-04-13,SafetyKart,eCommerce,Gurgaon,Redcliffe Capital,Private Equity,0
889,2017-04-13,WeAreHolidays,Consumer Internet,Gurgaon,"Urrshila Kerkar,",Private Equity,7700000
890,2017-04-14,Ola Cabs,Consumer Internet,Bangalore,SIMI Pacific Pte,Private Equity,260000000
891,2017-04-15,Myly,Consumer Internet,Jaipur,mall Industries Development Bank of India (SIDBI),Seed Funding,310000
892,2017-04-17,CrediHealth,Consumer Internet,Gurgaon,"Tolaram Inc, Mountain Pine Capital",Private Equity,1500000
893,2017-04-17,Navia Life Care,Technology,New Delhi,Benori Ventures LLP,Seed Funding,0
894,2017-04-17,Raw Pressery,Food & Beverages,Mumbai,Jacqueline Fernandez,Seed Funding,0
895,2017-04-17,Snackible,Food & Beverages,Mumbai,"Nibhrant Shah, Anandbir Singh, Anirudh Sheth, Pratik Singhi, Vikram Mehta, Murali Nair",Seed Funding,175000
896,2017-04-17,Be U Salons,Consumer Internet,New Delhi,"Gaurav Kachru, Sundeep Singh Sahni, Jatin Aneja, Arun Malhotra",Seed Funding,620000
897,2017-04-17,Simulanis,Consumer Internet,New Delhi,Village Capital,Seed Funding,0
898,2017-04-17,LendingKart,Consumer Internet,Ahmedabad,Anicut Capital,Private Equity,4650000
899,2017-04-18,Innefu Security Consulting,Technology,New Delhi,IndiaNivesh Venture Capital Fund,Private Equity,2000000
900,2017-04-18,Whodat,Technology,Bangalore,Ideaspring Capital,Private Equity,600000
